training files: data/train.en , data/train.es
testing  files: data/dev.en , data/dev.es
#{'output_probs': 'probs', 'source_corpus': 'source_full.tmp', 'intermediate_log': '0', 'algorithm': 'LBFGS', 'source_test': 'data/dev.en', 'input_weights': 'initial.trans.log', 'target_test': 'data/dev.es', 'test_gradient': 'false', 'output_weights': 'theta', 'regularization_coeff': '0.0', 'target_corpus': 'target_full.tmp', 'output_alignments': 'alignments', 'model': 'model1'}

skipping gradient check...
reading initial weights...
	ec: -45230.8222695
	ec: -45263.9860071
	ec: -45228.859872
18 log likelihood: -94560.1255097
	ec: -45163.958539
	ec: -45192.7122301
	ec: -45161.9080692
19 log likelihood: -94557.0051203
	ec: -45108.5002312
	ec: -45145.0678055
	ec: -45106.7890593
20 log likelihood: -94554.4594244
	ec: -45053.4873956
	ec: -45081.9442913
	ec: -45051.5984239
21 log likelihood: -94551.6309622
	ec: -45004.7792594
	ec: -45046.1138712
	ec: -45003.2781904
22 log likelihood: -94549.4432872
	ec: -44959.6110927
	ec: -44984.4234193
	ec: -44957.7484886
23 log likelihood: -94546.6679099
	ec: -44912.0537752
	ec: -44962.4799297
	ec: -44910.7518054
24 log likelihood: -94544.8062563
	ec: -44876.5656385
	ec: -44891.0689627
	ec: -44874.3767357
25 log likelihood: -94541.488436
	ec: -44817.2602659
	ec: -44887.2190005
	ec: -44816.1119727
26 log likelihood: -94539.87921
	ec: -44791.8370993
	ec: -44787.9923826
27 log likelihood: -94528.1997689
	ec: -44565.0425471
	ec: -44678.7851564
	ec: -44563.2506258
28 log likelihood: -94525.7535356
	ec: -44548.6977998
	ec: -44589.9988782
	ec: -44547.6448373
29 log likelihood: -94524.2692205
	ec: -44522.0340733
	ec: -44558.6234644
	ec: -44520.8885412
30 log likelihood: -94522.6589789
	ec: -44502.6448471
	ec: -44548.8559078
	ec: -44501.6710988
31 log likelihood: -94521.2942363
	ec: -44479.008336
	ec: -44508.2558027
	ec: -44477.7715008
32 log likelihood: -94519.5498504
	ec: -44456.9944838
	ec: -44516.5481809
	ec: -44456.123575
33 log likelihood: -94518.3395253
	ec: -44438.0071609
	ec: -44448.0458035
	ec: -44436.0611938
34 log likelihood: -94515.522094
	ec: -44396.5374649
	ec: -44490.5619775
	ec: -44395.6269001
35 log likelihood: -94514.2731321
	ec: -44382.8027924
	ec: -44375.8732306
	ec: -44369.9113835
	ec: -44367.8073941
36 log likelihood: -94486.9403877
	ec: -44036.0198018
	ec: -44036.7956874
	ec: -44033.3732633
37 log likelihood: -94482.81109
	ec: -43969.6343615
	ec: -44092.5464121
	ec: -43968.7524014
38 log likelihood: -94481.5968581
	ec: -43967.3593
	ec: -43988.3120796
	ec: -43966.2613427
39 log likelihood: -94479.993174
	ec: -43947.9074509
	ec: -44023.3866531
	ec: -43947.2938532
40 log likelihood: -94479.1429999
	ec: -43938.4113269
	ec: -43937.5315711
41 log likelihood: -94473.3816958
	ec: -43843.8354955
	ec: -43966.114857
	ec: -43840.6734915
42 log likelihood: -94469.0955462
	ec: -43827.1168021
	ec: -43933.9874926
	ec: -43826.4048001
43 log likelihood: -94468.1052643
	ec: -43816.9441976
	ec: -43826.8751558
	ec: -43815.4797511
44 log likelihood: -94465.8209162
	ec: -43779.4656742
	ec: -43870.2916432
	ec: -43778.8921848
45 log likelihood: -94464.9840374
	ec: -43779.6111768
	ec: -43781.5756827
	ec: -43777.3752583
46 log likelihood: -94461.2645348
	ec: -43740.9460942
	ec: -43838.2125529
	ec: -43740.3572153
47 log likelihood: -94460.362688
	ec: -43734.7178965
	ec: -43752.4944717
	ec: -43733.6294438
48 log likelihood: -94458.5890776
	ec: -43709.2492947
	ec: -43743.5621972
	ec: -43708.5287843
49 log likelihood: -94457.4026004
	ec: -43703.7587909
	ec: -43705.6178733
	ec: -43701.5194456
50 log likelihood: -94453.8426172
	ec: -43649.9668837
	ec: -43763.168777
	ec: -43649.3482586
51 log likelihood: -94452.9180153
	ec: -43652.0360396
	ec: -43680.4807011
	ec: -43651.2534352
52 log likelihood: -94451.6370696
	ec: -43645.7360765
	ec: -43661.8941106
	ec: -43644.6502208
53 log likelihood: -94449.9661899
	ec: -43619.356589
	ec: -43700.4543336
	ec: -43618.8295919
54 log likelihood: -94449.2146483
	ec: -43618.9988938
	ec: -43620.5214875
	ec: -43616.7758886
55 log likelihood: -94445.8614947
	ec: -43577.0320774
	ec: -43706.3454345
	ec: -43576.2428783
56 log likelihood: -94444.7705527
	ec: -43575.4867386
	ec: -43609.0951888
	ec: -43574.7619863
57 log likelihood: -94443.7050517
	ec: -43564.6856067
	ec: -43615.9403931
	ec: -43564.1257267
58 log likelihood: -94442.9283514
	ec: -43555.2943977
	ec: -43588.9539501
	ec: -43554.5745746
59 log likelihood: -94441.9457718
	ec: -43548.6593204
	ec: -43616.464195
	ec: -43548.1488684
60 log likelihood: -94441.2496278
	ec: -43539.8807817
	ec: -43549.1866109
	ec: -43538.498023
61 log likelihood: -94439.3401735
	ec: -43521.881063
	ec: -43632.8646994
	ec: -43521.2243876
62 log likelihood: -94438.4518516
	ec: -43514.465382
	ec: -43518.7904049
	ec: -43512.7147673
63 log likelihood: -94435.9889766
	ec: -43477.9858315
	ec: -43609.8185683
	ec: -43477.2056154
64 log likelihood: -94434.9341982
	ec: -43478.3309067
	ec: -43505.7297692
	ec: -43477.5485247
65 log likelihood: -94433.865482
	ec: -43470.7158835
	ec: -43550.415212
	ec: -43470.2243674
66 log likelihood: -94433.1972247
	ec: -43462.9579002
	ec: -43460.1263838
67 log likelihood: -94427.4332292
	ec: -43388.8587706
	ec: -43515.2180514
	ec: -43386.2661134
68 log likelihood: -94423.9571224
	ec: -43376.2156231
	ec: -43481.3777747
	ec: -43375.6578717
69 log likelihood: -94423.2026743
	ec: -43369.329135
	ec: -43365.3082156
70 log likelihood: -94416.6924905
	ec: -43275.3891697
	ec: -43417.0964512
	ec: -43273.4309325
71 log likelihood: -94414.0347008
	ec: -43277.0623582
	ec: -43390.0634596
	ec: -43276.5426646
72 log likelihood: -94413.3332957
	ec: -43276.8479786
	ec: -43270.9709294
	ec: -43259.6463783
	ec: -43292.9346493
	ec: -43243.6514617
	ec: -43224.6061747
	ec: -43219.7713285
	ec: -43206.9639225
	ec: -43190.058024
	ec: -43175.1886873
	ec: -43167.8124039
	ec: -43158.285068
	ec: -43146.3947912
	ec: -43131.7884569
	ec: -43153.2082511
	ec: -43126.6705347
	ec: -43120.4718671
	ec: -43112.1239259
